市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,,技能実習２号ロ,7
,,,,,スリランカ,技術・人文知識・国際業務,4
,,,,,,日本人の配偶者等,2
,,,,,タイ,永住者の配偶者等,1
,,,,,台湾,高度専門職１号ロ,8
,,,,,,教育,2
,,,,,,技術・人文知識・国際業務,9
,,,,,,企業内転勤,2
,,,,,,家族滞在,1
,,,,,中国,高度専門職１号ロ,2
,,,,,,技術・人文知識・国際業務,6
,,,,,,企業内転勤,2
,,,,,,特定技能１号,4
,,,,,,永住者,3
,,,,,トルコ,定住者,1
,,,,,ネパール,技術・人文知識・国際業務,8
,,,,,,留学,5
,,,,,パキスタン,経営・管理,1
,,,,,,技術・人文知識・国際業務,1
,,,,,バングラデシュ,技術・人文知識・国際業務,1
,,,,,フィリピン,教育,1
,,,,,,技術・人文知識・国際業務,4
,,,,,,企業内転勤,3
,,,,,,特定技能１号,3
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,8
,,,,,,永住者,2
,,,,,ベトナム,経営・管理,1
,,,,,,技術・人文知識・国際業務,16
,,,,,,特定技能１号,16
,,,,,,特定技能２号,1
,,,,,,技能実習１号ロ,4
,,,,,,技能実習２号ロ,7
,,,,,,留学,2
,,,,,,特定活動,2
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,ミャンマー,技術・人文知識・国際業務,2
,,,,,,特定技能１号,1
,,,,,,技能実習１号ロ,2
,,,,,,特定活動,2
,,,,,英国,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,ドイツ,教育,1
,,,,,フィンランド,教授,1
,,,,,フランス,技術・人文知識・国際業務,2
,,,,,ジブチ,留学,1
,,,,,南アフリカ共和国,教育,2
,,,,,カナダ,教育,1
,,,,,米国,技術・人文知識・国際業務,2
,,,,,コロンビア,日本人の配偶者等,1
,,,,2:女,アフガニスタン,家族滞在,1
,,,,,インドネシア,特定技能１号,2
,,,,,,留学,1
,,,,,韓国,家族滞在,1
,,,,,,永住者,1
,,,,,カンボジア,特定技能１号,6
,,,,,,技能実習２号ロ,1
,,,,,シンガポール,教育,1
,,,,,タイ,技術・人文知識・国際業務,1
,,,,,,特定技能１号,2
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,台湾,技術・人文知識・国際業務,5
,,,,,,企業内転勤,1
,,,,,,家族滞在,5
,,,,,,日本人の配偶者等,2
,,,,,中国,高度専門職１号イ,1
,,,,,,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,2
,,,,,,特定技能１号,2
,,,,,,文化活動,1
,,,,,,留学,1
,,,,,,家族滞在,2
,,,,,,永住者,6
,,,,,,日本人の配偶者等,2
,,,,,,定住者,1
,,,,,ネパール,技術・人文知識・国際業務,3
,,,,,,留学,1
,,,,,,家族滞在,2
,,,,,パキスタン,家族滞在,1
,,,,,フィリピン,技術・人文知識・国際業務,1
,,,,,,特定技能１号,5
,,,,,,永住者,1
,,,,,ベトナム,技術・人文知識・国際業務,5
,,,,,,介護,1
,,,,,,特定技能１号,7
,,,,,,技能実習１号ロ,3
,,,,,,技能実習２号ロ,2
,,,,,,家族滞在,10
,,,,,,永住者,2
,,,,,,日本人の配偶者等,1
,,,,,ミャンマー,技術・人文知識・国際業務,4
,,,,,,特定技能１号,8
,,,,,,技能実習１号ロ,2
,,,,,,技能実習２号ロ,1
,,,,,,家族滞在,1
,,,,,,特定活動,1
,,,,,,日本人の配偶者等,1
,,,,,英国,技術・人文知識・国際業務,1
,,,,,,家族滞在,1
,,,,,,日本人の配偶者等,1
,,,,,リトアニア,技術・人文知識・国際業務,1
,,,,,カナダ,教育,1
,,,,,米国,教育,4
,,,,,メキシコ,日本人の配偶者等,1
,,,,,ブラジル,永住者,1
,,,08_35～39歳,1:男,インド,技能実習２号ロ,2
,,,,,インドネシア,留学,1
,,,,,韓国,技術・人文知識・国際業務,1
,,,,,,企業内転勤,1
,,,,,,特定技能１号,1
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,,特別永住者,2
,,,,,カンボジア,技能実習２号ロ,1
,,,,,スリランカ,技術・人文知識・国際業務,3
,,,,,,日本人の配偶者等,1
,,,,,台湾,高度専門職１号ロ,4
,,,,,,技術・人文知識・国際業務,4
,,,,,,企業内転勤,2
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,中国,技術・人文知識・国際業務,8
,,,,,,企業内転勤,1
,,,,,,特定技能１号,2
,,,,,,技能実習１号ロ,1
,,,,,,家族滞在,1
,,,,,,永住者,8
,,,,,,日本人の配偶者等,2
,,,,,ネパール,技術・人文知識・国際業務,2
,,,,,,技能,3
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,パキスタン,技術・人文知識・国際業務,2
,,,,,フィリピン,技術・人文知識・国際業務,2
,,,,,,企業内転勤,6
,,,,,,特定技能１号,5
,,,,,,技能実習２号ロ,2
,,,,,,技能実習３号イ,1
,,,,,,技能実習３号ロ,2
,,,,,,定住者,1
,,,,,ベトナム,技術・人文知識・国際業務,5
,,,,,,特定技能１号,6
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,2
,,,,,,技能実習３号ロ,1
,,,,,,家族滞在,1
,,,,,,永住者,1
,,,,,ミャンマー,技能実習２号ロ,1
,,,,,英国,技術・人文知識・国際業務,2
,,,,,ドイツ,日本人の配偶者等,2
,,,,,フランス,技術・人文知識・国際業務,1
,,,,,ベルギー,永住者,1
,,,,,ロシア,留学,1
,,,,,ガーナ,留学,1
,,,,,南アフリカ共和国,永住者,1
,,,,,カナダ,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,トリニダード・トバゴ,技術・人文知識・国際業務,1
,,,,,米国,経営・管理,1
,,,,,,教育,2
,,,,,,技術・人文知識・国際業務,2
,,,,,,日本人の配偶者等,2
,,,,,メキシコ,教育,1
,,,,,,家族滞在,1
,,,,2:女,インドネシア,特定技能１号,2
,,,,,韓国,永住者,2
,,,,,,日本人の配偶者等,1
,,,,,カンボジア,特定技能１号,3
,,,,,,特定活動,1
,,,,,スリランカ,家族滞在,1
,,,,,タイ,日本人の配偶者等,1
,,,,,台湾,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,2
,,,,,,企業内転勤,1
,,,,,,家族滞在,4
,,,,,,永住者,1
,,,,,中国,経営・管理,1
,,,,,,教育,1
,,,,,,技術・人文知識・国際業務,4
,,,,,,特定技能１号,2
,,,,,,家族滞在,3
,,,,,,永住者,19
,,,,,,日本人の配偶者等,4
,,,,,,永住者の配偶者等,1
,,,,,ネパール,特定技能１号,1
,,,,,,永住者,2
,,,,,フィリピン,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,特定技能１号,3
,,,,,,特定活動,1
,,,,,,永住者,2
,,,,,,定住者,3
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,7
,,,,,,技能実習１号ロ,4
,,,,,,技能実習２号ロ,1
,,,,,,技能実習３号ロ,1
,,,,,,家族滞在,2
,,,,,,永住者,2
,,,,,ミャンマー,技術・人文知識・国際業務,1
,,,,,,技能実習２号ロ,1
,,,,,エジプト,家族滞在,1
,,,,,ガーナ,留学,1
,,,,,,家族滞在,1
,,,,,モロッコ,日本人の配偶者等,1
,,,,,ジャマイカ,教育,1
,,,,,米国,技術・人文知識・国際業務,1
,,,,,メキシコ,永住者,1
,,,,,アルゼンチン,教育,1
,,,09_40～44歳,1:男,インドネシア,家族滞在,1
,,,,,韓国,技術・人文知識・国際業務,1
,,,,,,永住者,3
,,,,,,日本人の配偶者等,2
,,,,,,特別永住者,1
,,,,,シンガポール,永住者,1
,,,,,スリランカ,技術・人文知識・国際業務,1
,,,,,,永住者,1
,,,,,台湾,高度専門職１号ロ,9
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,6
,,,,,,企業内転勤,2
,,,,,,永住者,4
,,,,,,日本人の配偶者等,1
,,,,,中国,高度専門職２号,1
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,2
,,,,,,技能実習２号ロ,1
,,,,,,家族滞在,1
,,,,,,永住者,12
,,,,,ネパール,家族滞在,1
,,,,,,永住者,2
,,,,,パキスタン,技術・人文知識・国際業務,1
,,,,,フィリピン,特定技能１号,2
,,,,,,永住者,2
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,技能実習２号ロ,2
,,,,,イタリア,日本人の配偶者等,2
,,,,,コソボ共和国,永住者,1
,,,,,ルーマニア,永住者,1
,,,,,エジプト,高度専門職１号イ,1
,,,,,ガーナ,留学,1
,,,,,コートジボワール,留学,1
,,,,,ナイジェリア,永住者,1
,,,,,モロッコ,永住者,1
,,,,,米国,永住者,2
,,,,,,日本人の配偶者等,1
,,,,,ベネズエラ,日本人の配偶者等,1
,,,,,オーストラリア,日本人の配偶者等,1
,,,,,ニュージーランド,日本人の配偶者等,1
,,,,2:女,イラン,教育,1
,,,,,インドネシア,留学,2
,,,,,韓国,教授,1
,,,,,,家族滞在,1
,,,,,,永住者,2
,,,,,,特別永住者,4
,,,,,カンボジア,日本人の配偶者等,1
,,,,,シンガポール,日本人の配偶者等,1
,,,,,スリランカ,家族滞在,1
,,,,,,永住者,1
,,,,,台湾,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,3
,,,,,,企業内転勤,5
,,,,,,家族滞在,14
,,,,,,永住者,5
,,,,,,日本人の配偶者等,1
,,,,,中国,技術・人文知識・国際業務,1
,,,,,,技能実習１号ロ,1
,,,,,,永住者,18
,,,,,,日本人の配偶者等,6
,,,,,,永住者の配偶者等,2
,,,,,ネパール,永住者,1
,,,,,フィリピン,技能実習２号ロ,1
,,,,,,永住者,8
,,,,,,日本人の配偶者等,2
,,,,,,永住者の配偶者等,1
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,1
,,,,,,技能実習１号ロ,1
,,,,,,永住者,2
,,,,,,日本人の配偶者等,3
,,,,,アイルランド,永住者,1
,,,,,ルーマニア,永住者,2
,,,,,コートジボワール,家族滞在,1
,,,,,米国,日本人の配偶者等,2
,,,10_45～49歳,1:男,インドネシア,家族滞在,1
,,,,,,永住者,1
,,,,,韓国,企業内転勤,1
,,,,,,特別永住者,1
,,,,,台湾,高度専門職１号ロ,6
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,5
,,,,,,企業内転勤,2
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,中国,技術・人文知識・国際業務,4
,,,,,,技能,1
,,,,,,家族滞在,1
,,,,,,永住者,10
,,,,,フィリピン,特定技能１号,1
,,,,,,家族滞在,1
,,,,,,永住者,1
,,,,,英国,教育,1
,,,,,,永住者,1
,,,,,ドイツ,永住者,1
,,,,,フランス,日本人の配偶者等,1
,,,,,ナイジェリア,永住者,1
,,,,,カナダ,永住者,1
,,,,,米国,永住者,1
,,,,,ニュージーランド,永住者,1
,,,,2:女,韓国,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,シンガポール,永住者,1
,,,,,タイ,日本人の配偶者等,1
,,,,,台湾,技術・人文知識・国際業務,1
,,,,,,家族滞在,6
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,中国,高度専門職２号,1
,,,,,,特定技能１号,1
,,,,,,家族滞在,2
,,,,,,永住者,15
,,,,,,日本人の配偶者等,1
,,,,,ネパール,永住者,1
,,,,,パキスタン,家族滞在,1
,,,,,フィリピン,教育,1
,,,,,,特定活動,1
,,,,,,永住者,16
,,,,,,日本人の配偶者等,1
,,,,,,永住者の配偶者等,1
,,,,,,定住者,1
,,,,,マレーシア,永住者,1
,,,,,ルーマニア,永住者,1
,,,,,ロシア,日本人の配偶者等,1
,,,,,米国,教育,1
,,,,,,永住者,1
,,,,,ブラジル,永住者,1
,,,11_50～54歳,1:男,韓国,永住者,5
,,,,,,日本人の配偶者等,1
,,,,,,特別永住者,1
,,,,,スリランカ,永住者,1
,,,,,台湾,高度専門職１号ロ,1
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,2
,,,,,,企業内転勤,1
,,,,,,家族滞在,2
,,,,,中国,技術・人文知識・国際業務,2
,,,,,,永住者,4
,,,,,,日本人の配偶者等,1
,,,,,ネパール,永住者,1
,,,,,パキスタン,技能,1
,,,,,フィリピン,永住者,1
,,,,,モルディブ,永住者,1
,,,,,スペイン,永住者,1
,,,,,ロシア,日本人の配偶者等,1
,,,,,米国,永住者,1
,,,,,ブラジル,永住者,1
,,,,,,日本人の配偶者等,1
,,,,2:女,インドネシア,永住者,1
,,,,,,日本人の配偶者等,2
,,,,,韓国,永住者,4
,,,,,,日本人の配偶者等,1
,,,,,,特別永住者,3
,,,,,朝鮮,特別永住者,2
,,,,,タイ,永住者,1
,,,,,台湾,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,企業内転勤,1
,,,,,,家族滞在,2
,,,,,,永住者,1
,,,,,中国,技術・人文知識・国際業務,1
,,,,,,技能実習１号ロ,1
,,,,,,永住者,9
,,,,,,定住者,1
,,,,,フィリピン,技能実習３号ロ,1
,,,,,,永住者,22
,,,,,,日本人の配偶者等,2
,,,,,,定住者,2
,,,,,英国,教育,1
,,,,,,日本人の配偶者等,1
,,,,,ブルガリア,永住者,1
,,,,,米国,定住者,1
,,,12_55～59歳,1:男,韓国,永住者,1
,,,,,,特別永住者,1
,,,,,台湾,永住者,1
,,,,,中国,永住者,6
,,,,,パキスタン,経営・管理,1
,,,,,イタリア,永住者,1
,,,,,ドイツ,永住者,1
,,,,,米国,永住者,5
,,,,,ブラジル,永住者,1
,,,,2:女,韓国,永住者,4
,,,,,,日本人の配偶者等,1
,,,,,,特別永住者,2
,,,,,タイ,永住者,2
,,,,,台湾,永住者,2
,,,,,中国,永住者,18
,,,,,,日本人の配偶者等,3
,,,,,フィリピン,永住者,20
,,,,,,日本人の配偶者等,1
,,,,,ルーマニア,永住者,1
,,,,,ブラジル,永住者,1
,,,13_60～64歳,1:男,韓国,特別永住者,5
,,,,,台湾,永住者,1
,,,,,中国,技術・人文知識・国際業務,1
,,,,,,永住者,2
,,,,,,日本人の配偶者等,1
,,,,,ネパール,技能,1
,,,,,英国,永住者,2
,,,,,ドイツ,永住者,1
,,,,,カナダ,永住者,1
,,,,,米国,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,,定住者,2
,,,,2:女,韓国,永住者,3
,,,,,,特別永住者,1
,,,,,タイ,永住者,1
,,,,,台湾,永住者,1
,,,,,中国,永住者,9
,,,,,フィリピン,永住者,9
,,,,,マレーシア,永住者,2
,,,,,米国,永住者,1
,,,,,,日本人の配偶者等,1
,,,14_65～69歳,1:男,イスラエル,永住者,1
,,,,,韓国,永住者,1
,,,,,,特別永住者,2
,,,,,朝鮮,特別永住者,2
,,,,,中国,永住者,11
,,,,,米国,永住者,6
,,,,,,日本人の配偶者等,1
,,,,,オーストラリア,日本人の配偶者等,1
,,,,2:女,韓国,永住者,2
,,,,,,特別永住者,3
,,,,,タイ,永住者,1
,,,,,中国,永住者,8
,,,,,,日本人の配偶者等,1
,,,,,フィリピン,永住者,4
,,,,,,定住者,1
,,,,,米国,永住者,1
,,,15_70～74歳,1:男,韓国,特別永住者,3
,,,,,中国,永住者,9
,,,,,,定住者,1
,,,,,米国,日本人の配偶者等,2
,,,,2:女,韓国,永住者,1
,,,,,,特別永住者,2
,,,,,中国,永住者,3
,,,,,フィリピン,永住者,1
,,,,,ブラジル,永住者,1
,,,16_75～79歳,1:男,朝鮮,特別永住者,2
,,,,,台湾,特別永住者,1
,,,,,中国,永住者,2
,,,,,米国,永住者,1
,,,,2:女,韓国,永住者,2
,,,,,朝鮮,特別永住者,1
,,,,,中国,永住者,7
,,,,,ルーマニア,特定活動,1
,,,17_80歳以上,1:男,韓国,特別永住者,1
,,,,,朝鮮,特別永住者,1
,,,,,中国,永住者,2
,,,,2:女,韓国,特別永住者,2
,,,,,朝鮮,特別永住者,1
,,,,,中国,永住者,3
,,,,,カナダ,永住者,1
,,,,,米国,永住者,1
43103,43：熊本県,熊本市西区,01_０～４歳,1:男,中国,永住者,2
,,,,,,永住者の配偶者等,3
,,,,,ネパール,家族滞在,2
,,,,,バングラデシュ,家族滞在,1
,,,,,フィリピン,永住者の配偶者等,1
,,,,,エジプト,家族滞在,1
,,,,,ガーナ,家族滞在,2
,,,,2:女,スリランカ,家族滞在,1
,,,,,台湾,家族滞在,1
,,,,,中国,家族滞在,2
,,,,,,永住者,1
,,,,,,永住者の配偶者等,1
,,,,,ネパール,家族滞在,2
,,,,,ベトナム,家族滞在,2
,,,,,ウズベキスタン,家族滞在,1
,,,,,エジプト,家族滞在,1
,,,02_５～９歳,1:男,中国,家族滞在,3
,,,,,,永住者,1
,,,,,,永住者の配偶者等,3
,,,,,ネパール,家族滞在,1
,,,,,,永住者,1
,,,,,ウズベキスタン,家族滞在,1
,,,,,ガーナ,家族滞在,1
,,,,2:女,韓国,家族滞在,1
,,,,,スリランカ,家族滞在,2
,,,,,中国,家族滞在,1
,,,,,,永住者,6
,,,,,,永住者の配偶者等,1
,,,,,バングラデシュ,家族滞在,1
,,,,,ウズベキスタン,家族滞在,1
,,,03_10～14歳,1:男,中国,永住者,5
,,,,2:女,スリランカ,家族滞在,1
,,,,,中国,永住者,4
,,,,,フィリピン,定住者,1
,,,,,米国,家族滞在,1
,,,04_15～19歳,1:男,インドネシア,特定技能１号,1
,,,,,,技能実習１号ロ,2
,,,,,韓国,永住者,1
,,,,,中国,留学,2
,,,,,,家族滞在,1
,,,,,,永住者,5
,,,,,,定住者,1
,,,,,ネパール,留学,3
,,,,,フィリピン,定住者,1
,,,,,ベトナム,留学,1
,,,,2:女,インドネシア,特定技能１号,1
,,,,,韓国,永住者,1
,,,,,中国,留学,1
,,,,,,永住者,1
,,,,,フィリピン,留学,1
,,,,,,日本人の配偶者等,1
,,,,,ベトナム,技能実習１号ロ,8
,,,,,,技能実習２号ロ,3
,,,,,,留学,1
,,,,,米国,日本人の配偶者等,1
,,,05_20～24歳,1:男,インドネシア,特定技能１号,9
,,,,,,技能実習１号ロ,3
,,,,,,技能実習２号ロ,9
,,,,,,留学,1
,,,,,,特定活動,3
,,,,,カンボジア,特定技能１号,1
,,,,,,技能実習２号ロ,3
,,,,,タイ,技能実習１号ロ,2
,,,,,,技能実習２号ロ,1
,,,,,台湾,技術・人文知識・国際業務,1
,,,,,中国,留学,19
,,,,,,永住者,3
,,,,,ネパール,特定技能１号,1
,,,,,,留学,14
,,,,,バングラデシュ,技能実習１号ロ,1
,,,,,,技能実習２号ロ,1
,,,,,フィリピン,技能実習１号ロ,1
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,10
,,,,,,技能実習１号ロ,3
,,,,,,技能実習２号ロ,21
,,,,,,留学,2
,,,,,,特定活動,2
,,,,,マレーシア,留学,2
,,,,,ミャンマー,特定技能１号,15
,,,,,,技能実習１号ロ,3
,,,,,,技能実習２号ロ,1
,,,,,ハンガリー,特定活動,1
,,,,2:女,インド,技術・人文知識・国際業務,1
,,,,,インドネシア,特定技能１号,19
,,,,,,技能実習１号ロ,6
,,,,,,技能実習２号ロ,6
,,,,,韓国,宗教,2
,,,,,,技術・人文知識・国際業務,1
,,,,,,留学,3
,,,,,カンボジア,特定技能１号,1
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,3
,,,,,タイ,技能実習１号ロ,3
,,,,,,技能実習２号ロ,4
,,,,,台湾,特定活動,1
,,,,,中国,留学,5
,,,,,,永住者,4
,,,,,ネパール,留学,2
,,,,,,家族滞在,1
,,,,,バングラデシュ,家族滞在,1
,,,,,フィリピン,特定技能１号,3
,,,,,,留学,1
,,,,,,定住者,1
,,,,,ベトナム,特定技能１号,11
,,,,,,技能実習１号ロ,9
,,,,,,技能実習２号ロ,32
,,,,,,留学,1
,,,,,,家族滞在,1
,,,,,,特定活動,1
,,,,,マレーシア,留学,2
,,,,,,特定活動,1
,,,,,ミャンマー,特定技能１号,11
,,,,,,技能実習１号ロ,13
,,,,,,技能実習２号ロ,5
,,,,,,留学,1
,,,06_25～29歳,1:男,インド,技術・人文知識・国際業務,1
,,,,,インドネシア,技術・人文知識・国際業務,1
,,,,,,特定技能１号,8
,,,,,,技能実習２号ロ,4
,,,,,,特定活動,1
,,,,,韓国,技術・人文知識・国際業務,4
,,,,,,特定活動,1
,,,,,,永住者,1
,,,,,カンボジア,特定技能１号,1
,,,,,,技能実習２号ロ,2
,,,,,シンガポール,教育,1
,,,,,タイ,特定技能１号,1
,,,,,,技能実習２号ロ,1
,,,,,台湾,技術・人文知識・国際業務,2
,,,,,,企業内転勤,1
,,,,,中国,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,2
,,,,,,留学,6
,,,,,,特定活動,1
,,,,,,永住者,2
,,,,,,永住者の配偶者等,1
,,,,,ネパール,技術・人文知識・国際業務,2
,,,,,,留学,5
,,,,,バングラデシュ,介護,1
,,,,,,技能実習１号ロ,2
,,,,,,技能実習２号ロ,1
,,,,,フィリピン,特定技能１号,4
,,,,,,技能実習１号ロ,4
,,,,,,技能実習２号ロ,5
,,,,,ベトナム,経営・管理,1
,,,,,,技術・人文知識・国際業務,4
,,,,,,特定技能１号,29
,,,,,,技能実習１号ロ,5
,,,,,,技能実習２号ロ,7
,,,,,,特定活動,2
,,,,,ミャンマー,技能実習１号ロ,1
,,,,,,特定活動,1
,,,,,英国,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,カナダ,教育,1
,,,,2:女,インドネシア,特定技能１号,2
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,2
,,,,,,特定活動,1
,,,,,カンボジア,特定技能１号,4
,,,,,スリランカ,特定技能１号,2
,,,,,,留学,1
,,,,,,家族滞在,1
,,,,,タイ,特定技能１号,2
,,,,,,技能実習２号ロ,4
,,,,,台湾,技術・人文知識・国際業務,1
,,,,,,企業内転勤,1
,,,,,,家族滞在,1
,,,,,中国,技術・人文知識・国際業務,1
,,,,,,永住者,4
,,,,,ネパール,技術・人文知識・国際業務,1
,,,,,,家族滞在,2
,,,,,フィリピン,特定技能１号,3
,,,,,,留学,1
,,,,,,日本人の配偶者等,1
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,28
,,,,,,技能実習１号ロ,5
,,,,,,技能実習２号ロ,6
,,,,,,家族滞在,1
,,,,,ミャンマー,特定技能１号,13
,,,,,,技能実習１号ロ,5
,,,,,,技能実習２号ロ,5
,,,,,,特定活動,1
,,,,,ウズベキスタン,家族滞在,1
,,,,,フランス,日本人の配偶者等,1
,,,,,ロシア,留学,1
,,,,,ガーナ,家族滞在,3
,,,,,ジャマイカ,教育,1
,,,,,米国,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,ニュージーランド,教育,1
,,,07_30～34歳,1:男,インド,技術・人文知識・国際業務,1
,,,,,,技能,1
,,,,,インドネシア,特定技能１号,7
,,,,,,技能実習２号ロ,2
,,,,,韓国,技術・人文知識・国際業務,3
,,,,,,日本人の配偶者等,3
,,,,,スリランカ,技術・人文知識・国際業務,1
,,,,,,技能,1
,,,,,,留学,1
,,,,,タイ,技術・人文知識・国際業務,1
,,,,,台湾,高度専門職１号ロ,3
,,,,,,技術・人文知識・国際業務,3
,,,,,中国,医療,1
,,,,,,技術・人文知識・国際業務,6
,,,,,,特定技能１号,1
,,,,,,技能実習１号ロ,1
,,,,,,留学,2
,,,,,,永住者,3
,,,,,,日本人の配偶者等,1
,,,,,,永住者の配偶者等,1
,,,,,ネパール,技術・人文知識・国際業務,4
,,,,,,留学,1
,,,,,,家族滞在,3
,,,,,,永住者,2
,,,,,フィリピン,特定技能１号,3
,,,,,,技能実習２号ロ,4
,,,,,,永住者,1
,,,,,ベトナム,技術・人文知識・国際業務,3
,,,,,,特定技能１号,14
,,,,,,技能実習２号ロ,2
,,,,,,特定活動,3
,,,,,,永住者,1
,,,,,ミャンマー,技術・人文知識・国際業務,1
,,,,,,特定活動,1
,,,,,アイルランド,日本人の配偶者等,1
,,,,,イタリア,技術・人文知識・国際業務,1
,,,,,英国,技術・人文知識・国際業務,1
,,,,,ハンガリー,特定活動,1
,,,,,ロシア,技術・人文知識・国際業務,1
,,,,,ガーナ,留学,2
,,,,,南アフリカ共和国,技術・人文知識・国際業務,1
,,,,,カナダ,技術・人文知識・国際業務,2
,,,,,米国,日本人の配偶者等,2
,,,,,ブラジル,永住者,1
,,,,,ベネズエラ,日本人の配偶者等,1
,,,,,ニュージーランド,技術・人文知識・国際業務,1
,,,,2:女,韓国,留学,1
,,,,,,特別永住者,1
,,,,,カンボジア,技能実習２号ロ,2
,,,,,スリランカ,家族滞在,1
,,,,,タイ,特定技能１号,1
,,,,,,技能実習３号ロ,1
,,,,,台湾,技術・人文知識・国際業務,3
,,,,,,永住者,3
,,,,,中国,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,介護,1
,,,,,,留学,1
,,,,,,永住者,6
,,,,,,日本人の配偶者等,2
,,,,,,永住者の配偶者等,2
,,,,,ネパール,技術・人文知識・国際業務,1
,,,,,,介護,1
,,,,,,家族滞在,3
,,,,,,永住者,1
,,,,,フィリピン,家族滞在,1
,,,,,,永住者,1
,,,,,ベトナム,技術・人文知識・国際業務,2
,,,,,,企業内転勤,1
,,,,,,特定技能１号,16
,,,,,,特定技能２号,1
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,5
,,,,,,技能実習３号ロ,1
,,,,,,特定活動,2
,,,,,,永住者,1
,,,,,ミャンマー,特定技能１号,4
,,,,,,技能実習２号ロ,4
,,,,,ドイツ,留学,1
,,,,,米国,教授,1
,,,,,,教育,1
,,,,,,日本人の配偶者等,1
,,,,,ベネズエラ,定住者,1
,,,,,オーストラリア,技術・人文知識・国際業務,1
,,,08_35～39歳,1:男,インドネシア,技術・人文知識・国際業務,1
,,,,,,特定技能１号,4
,,,,,,特定活動,2
,,,,,韓国,技術・人文知識・国際業務,1
,,,,,カンボジア,技能実習２号ロ,1
,,,,,スリランカ,経営・管理,1
,,,,,台湾,技術・人文知識・国際業務,1
,,,,,,永住者,1
,,,,,中国,経営・管理,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,技能実習１号ロ,1
,,,,,,永住者,8
,,,,,,永住者の配偶者等,1
,,,,,ネパール,技術・人文知識・国際業務,3
,,,,,,技能,1
,,,,,フィリピン,定住者,1
,,,,,ベトナム,特定技能１号,6
,,,,,,技能実習２号ロ,2
,,,,,,特定活動,1
,,,,,マレーシア,研究,1
,,,,,ウズベキスタン,技術・人文知識・国際業務,1
,,,,,スペイン,日本人の配偶者等,1
,,,,,フランス,特定活動,1
,,,,,ガーナ,教授,1
,,,,,,留学,2
,,,,,セネガル,日本人の配偶者等,1
,,,,,米国,教育,1
,,,,2:女,タイ,日本人の配偶者等,1
,,,,,台湾,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,3
,,,,,,家族滞在,1
,,,,,中国,技術・人文知識・国際業務,1
,,,,,,家族滞在,1
,,,,,,永住者,8
,,,,,,日本人の配偶者等,1
,,,,,,永住者の配偶者等,3
,,,,,バングラデシュ,留学,1
,,,,,フィリピン,特定技能１号,1
,,,,,,日本人の配偶者等,2
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,介護,1
,,,,,,特定技能１号,8
,,,,,,技能実習２号ロ,6
,,,,,,特定活動,1
,,,,,ミャンマー,特定技能１号,2
,,,09_40～44歳,1:男,インド,技能,1
,,,,,インドネシア,技術・人文知識・国際業務,1
,,,,,,特定技能１号,1
,,,,,韓国,教授,1
,,,,,,永住者,2
