市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,スリランカ,技術・人文知識・国際業務,1
,,,,,,技能,1
,,,,,,特定活動,1
,,,,,タイ,技術・人文知識・国際業務,1
,,,,,,興行,1
,,,,,,留学,2
,,,,,台湾,教授,1
,,,,,,高度専門職１号ロ,12
,,,,,,技術・人文知識・国際業務,23
,,,,,,企業内転勤,11
,,,,,,留学,2
,,,,,,特定活動,2
,,,,,,永住者,4
,,,,,,日本人の配偶者等,1
,,,,,中国,教授,2
,,,,,,高度専門職１号イ,4
,,,,,,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,14
,,,,,,技能,1
,,,,,,文化活動,2
,,,,,,留学,22
,,,,,,家族滞在,1
,,,,,,永住者,10
,,,,,ネパール,経営・管理,1
,,,,,,技術・人文知識・国際業務,20
,,,,,,技能,4
,,,,,,特定技能１号,3
,,,,,,留学,9
,,,,,,家族滞在,10
,,,,,パキスタン,高度専門職１号イ,1
,,,,,バングラデシュ,教授,1
,,,,,,特定技能１号,1
,,,,,,技能実習２号ロ,1
,,,,,,留学,6
,,,,,,特定活動,1
